,Tokens,Occurences
1569,2163,"[('T5.txt', 1)]"
1570,rais,"[('T2.txt', 1), ('T4.txt', 2), ('T6.txt', 2), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 1)]"
1571,eaten,"[('T7.txt', 1)]"
1572,structur,"[('T1.txt', 4), ('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 3)]"
1573,era_,"[('T7.txt', 3)]"
1574,ship,"[('T6.txt', 1), ('T10.txt', 1)]"
1575,kiwi,"[('T1.txt', 1)]"
1576,absenc,"[('T4.txt', 2), ('T6.txt', 2), ('T7.txt', 1)]"
1577,_popular,"[('T5.txt', 1), ('T10.txt', 1)]"
1578,rare,"[('T1.txt', 1), ('T7.txt', 2)]"
1579,peep,"[('T1.txt', 1), ('T8.txt', 1)]"
1580,bibliographi,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
1581,critic,"[('T9.txt', 1), ('T10.txt', 1)]"
1582,attain,"[('T2.txt', 1), ('T7.txt', 6), ('T10.txt', 1)]"
1583,silenc,"[('T7.txt', 1)]"
1584,reflect,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 3), ('T5.txt', 4), ('T8.txt', 1), ('T9.txt', 3)]"
1585,hole,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
1586,pinion,"[('T7.txt', 1)]"
1587,sodium,"[('T2.txt', 4)]"
1588,salmon,"[('T1.txt', 3)]"
1589,dissoci,"[('T1.txt', 1)]"
1590,floor,"[('T6.txt', 3), ('T7.txt', 1)]"
1591,stripe,"[('T6.txt', 1), ('T7.txt', 1)]"
1592,pariasauru,"[('T1.txt', 1), ('T7.txt', 1)]"
1593,gorilla,"[('T1.txt', 3), ('T7.txt', 1)]"
1594,cycad,"[('T7.txt', 4)]"
1595,situat,"[('T5.txt', 2), ('T7.txt', 1), ('T8.txt', 3)]"
1596,piltdown,"[('T1.txt', 2)]"
1597,swing,"[('T1.txt', 1)]"
1598,ferment,"[('T6.txt', 1)]"
1599,cambridg,"[('T1.txt', 2), ('T9.txt', 1)]"
1600,cavendish,"[('T9.txt', 1)]"
1601,tender,"[('T6.txt', 1)]"
1602,flea,"[('T7.txt', 1)]"
1603,cuckoo,"[('T1.txt', 1)]"
1604,magnesium,"[('T2.txt', 2)]"
1605,pressur,"[('T2.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 3)]"
1606,gossam,"[('T1.txt', 1)]"
1607,stellar,"[('T1.txt', 4), ('T4.txt', 4), ('T5.txt', 3)]"
1608,clear,"[('T1.txt', 2), ('T3.txt', 2), ('T4.txt', 1), ('T6.txt', 3), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1609,trilobit,"[('T1.txt', 1), ('T7.txt', 7)]"
1610,greatli,"[('T1.txt', 2), ('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 2)]"
1611,unison,"[('T9.txt', 1)]"
1612,replac,"[('T2.txt', 1), ('T6.txt', 1), ('T7.txt', 7), ('T9.txt', 1), ('T10.txt', 6)]"
1613,scientist,"[('T2.txt', 1), ('T5.txt', 1)]"
1614,lung,"[('T7.txt', 7)]"
1615,evolutionari,"[('T1.txt', 1), ('T6.txt', 2), ('T7.txt', 1)]"
1616,seen,"[('T1.txt', 9), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 5), ('T6.txt', 6), ('T7.txt', 4), ('T8.txt', 2), ('T9.txt', 16), ('T10.txt', 3)]"
1617,offici,"[('T5.txt', 1), ('T10.txt', 3)]"
1618,combust,"[('T2.txt', 5), ('T7.txt', 1), ('T9.txt', 1)]"
1619,_next_,"[('T9.txt', 1)]"
1620,exactli,"[('T2.txt', 1), ('T5.txt', 1)]"
1621,reduc,"[('T1.txt', 2), ('T5.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
1622,vivum,"[('T6.txt', 1)]"
1623,macmillan_,"[('T2.txt', 1)]"
1624,carpo,"[('T7.txt', 1)]"
1625,young,"[('T1.txt', 5), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 19), ('T8.txt', 12), ('T9.txt', 1)]"
1626,carcass,"[('T8.txt', 1)]"
1627,_permian_,"[('T7.txt', 2)]"
1628,_regulated_,"[('T10.txt', 1)]"
1629,ascend,"[('T1.txt', 1), ('T6.txt', 1)]"
1630,157,"[('T1.txt', 4)]"
1631,rank,"[('T7.txt', 1), ('T10.txt', 1)]"
1632,electrifi,"[('T1.txt', 1), ('T9.txt', 9)]"
1633,liber,"[('T6.txt', 2), ('T7.txt', 3), ('T9.txt', 3)]"
1634,run,"[('T1.txt', 1), ('T2.txt', 1), ('T5.txt', 1), ('T7.txt', 6), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
1635,luminos,"[('T2.txt', 1), ('T4.txt', 3)]"
1636,txt,"[('T10.txt', 1)]"
1637,heavi,"[('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
1638,dingo,"[('T1.txt', 1)]"
1639,prehistor,"[('T1.txt', 1)]"
1640,princip,"[('T2.txt', 1), ('T10.txt', 1)]"
1641,darken,"[('T8.txt', 1)]"
1642,complic,"[('T6.txt', 2), ('T9.txt', 4), ('T10.txt', 3)]"
1643,novelti,"[('T7.txt', 2)]"
1644,knickerbock,"[('T1.txt', 1)]"
1645,poultri,"[('T6.txt', 1)]"
1646,moment,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 2), ('T9.txt', 3), ('T10.txt', 1)]"
1647,pigment,"[('T6.txt', 1)]"
1648,gaum,"[('T1.txt', 2)]"
1649,stem,"[('T6.txt', 1)]"
1650,protozoon,"[('T6.txt', 4)]"
1651,impact,"[('T9.txt', 2)]"
1652,verrier,"[('T1.txt', 1)]"
1653,_periophthalmus_,"[('T1.txt', 1)]"
1654,mention,"[('T2.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 3), ('T8.txt', 1), ('T10.txt', 2)]"
1655,secondli,"[('T6.txt', 1)]"
1656,______________________________________,"[('T5.txt', 4)]"
1657,tri,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 2), ('T7.txt', 3), ('T8.txt', 4), ('T9.txt', 3), ('T10.txt', 3)]"
1658,beyond,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
1659,bodili,"[('T6.txt', 3), ('T7.txt', 2)]"
1660,sporad,"[('T1.txt', 1), ('T6.txt', 1)]"
1661,crater,"[('T1.txt', 1), ('T3.txt', 3), ('T4.txt', 4)]"
1662,genesi,"[('T6.txt', 2)]"
1663,period,"[('T1.txt', 1), ('T2.txt', 4), ('T3.txt', 1), ('T5.txt', 4), ('T6.txt', 4), ('T7.txt', 43), ('T9.txt', 3), ('T10.txt', 6)]"
1664,scale,"[('T1.txt', 10), ('T7.txt', 1), ('T9.txt', 3)]"
1665,wound,"[('T1.txt', 1)]"
1666,sparrow,"[('T7.txt', 2)]"
1667,voyag,"[('T1.txt', 1)]"
1668,licens,"[('T1.txt', 1), ('T10.txt', 16)]"
1669,_nearest_,"[('T1.txt', 1)]"
1670,circul,"[('T1.txt', 1), ('T5.txt', 1), ('T9.txt', 3)]"
1671,1901,"[('T5.txt', 1)]"
1672,constant,"[('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
1673,digit,"[('T7.txt', 2)]"
1674,fruit,"[('T1.txt', 1)]"
1675,manifest,"[('T2.txt', 1), ('T6.txt', 1), ('T9.txt', 6), ('T10.txt', 1)]"
1676,advanc,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 2), ('T5.txt', 1), ('T7.txt', 8), ('T9.txt', 1), ('T10.txt', 2)]"
1677,_organ,"[('T7.txt', 1)]"
1678,messeng,"[('T1.txt', 2), ('T6.txt', 4)]"
1679,throw,"[('T2.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T10.txt', 1)]"
1680,86500,"[('T5.txt', 1)]"
1681,side,"[('T1.txt', 7), ('T3.txt', 5), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 9), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 5), ('T10.txt', 1)]"
1682,yawn,"[('T1.txt', 1), ('T8.txt', 1)]"
1683,tacchini,"[('T1.txt', 1)]"
1684,maze,"[('T8.txt', 2)]"
1685,lithium,"[('T9.txt', 1)]"
1686,body_,"[('T6.txt', 1)]"
1687,instant,"[('T2.txt', 1), ('T4.txt', 1)]"
1688,investig,"[('T4.txt', 1), ('T9.txt', 5)]"
1689,onion,"[('T9.txt', 1)]"
1690,empir,"[('T7.txt', 1)]"
1691,pit,"[('T1.txt', 1), ('T4.txt', 1), ('T8.txt', 1)]"
1692,uncertain,"[('T1.txt', 2), ('T6.txt', 1)]"
1693,notifi,"[('T10.txt', 1)]"
1694,167,"[('T1.txt', 1)]"
1695,declin,"[('T5.txt', 1)]"
1696,measur,"[('T1.txt', 6), ('T2.txt', 10), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 4), ('T7.txt', 3), ('T9.txt', 7), ('T10.txt', 3)]"
1697,salicyl,"[('T6.txt', 1)]"
1698,hart,"[('T10.txt', 2)]"
1699,blotch,"[('T3.txt', 1)]"
1700,consist,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 9)]"
1701,1917,"[('T1.txt', 2), ('T6.txt', 1)]"
1702,phagocyt,"[('T6.txt', 1)]"
1703,temporari,"[('T7.txt', 1)]"
1704,brought,"[('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 2), ('T9.txt', 2), ('T10.txt', 2)]"
1705,salin,"[('T6.txt', 1), ('T7.txt', 1)]"
1706,weight,"[('T6.txt', 1), ('T9.txt', 9)]"
1707,226,"[('T1.txt', 1)]"
1708,find,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 4), ('T7.txt', 6), ('T8.txt', 3), ('T9.txt', 4), ('T10.txt', 3)]"
1709,cautious,"[('T6.txt', 1)]"
1710,svant,"[('T10.txt', 1)]"
1711,excit,"[('T5.txt', 2), ('T8.txt', 2)]"
1712,impli,"[('T1.txt', 1), ('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 8), ('T9.txt', 1), ('T10.txt', 5)]"
1713,push,"[('T7.txt', 2), ('T9.txt', 1)]"
1714,_men,"[('T1.txt', 2)]"
1715,steamer,"[('T8.txt', 1)]"
1716,sci,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
1717,_helios_,"[('T2.txt', 1)]"
1718,theori,"[('T1.txt', 7), ('T2.txt', 2), ('T3.txt', 2), ('T4.txt', 7), ('T6.txt', 9), ('T7.txt', 4), ('T9.txt', 11), ('T10.txt', 10)]"
1719,ward,"[('T1.txt', 10), ('T6.txt', 5), ('T7.txt', 1)]"
1720,reproduc,"[('T1.txt', 14), ('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
1721,medi,"[('T7.txt', 1)]"
1722,rel,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 11), ('T8.txt', 1)]"
1723,fir,"[('T8.txt', 1)]"
1724,trumpet,"[('T7.txt', 1)]"
1725,innumer,"[('T10.txt', 1)]"
1726,kept,"[('T6.txt', 3), ('T7.txt', 1)]"
1727,macpherson,"[('T2.txt', 1)]"
1728,railway,"[('T8.txt', 1), ('T9.txt', 1)]"
1729,56,"[('T1.txt', 2), ('T6.txt', 1)]"
1730,rhizopod,"[('T6.txt', 2)]"
1731,entangl,"[('T1.txt', 1), ('T6.txt', 1)]"
1732,lay,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 1)]"
1733,wind,"[('T1.txt', 2), ('T3.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
1734,eye,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 2), ('T5.txt', 8), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 9)]"
1735,handicap,"[('T7.txt', 1)]"
1736,unicellular,"[('T6.txt', 1)]"
1737,receipt,"[('T10.txt', 2)]"
1738,cells_,"[('T6.txt', 1)]"
1739,solder,"[('T7.txt', 1)]"
1740,ichthyosaur,"[('T7.txt', 1)]"
1741,franc,"[('T1.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
1742,partisan,"[('T5.txt', 1)]"
1743,0,"[('T5.txt', 1)]"
1744,michael,"[('T10.txt', 2)]"
1745,heavili,"[('T7.txt', 1)]"
1746,segment,"[('T6.txt', 1), ('T7.txt', 1)]"
1747,charact,"[('T1.txt', 1), ('T6.txt', 2)]"
1748,orion,"[('T1.txt', 1), ('T4.txt', 1)]"
1749,vacuum,"[('T1.txt', 1), ('T4.txt', 1), ('T9.txt', 2)]"
1750,hobhous,"[('T1.txt', 1)]"
1751,local,"[('T7.txt', 1)]"
1752,nake,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 1)]"
1753,kippax,"[('T5.txt', 1)]"
1754,resurrect,"[('T5.txt', 1)]"
1755,brazilian,"[('T5.txt', 1)]"
1756,_reflecting_,"[('T5.txt', 1)]"
1757,merychippu,"[('T7.txt', 2)]"
1758,silk,"[('T1.txt', 2), ('T9.txt', 3)]"
1759,head,"[('T1.txt', 4), ('T4.txt', 2), ('T6.txt', 5), ('T8.txt', 2), ('T10.txt', 1)]"
1760,wander,"[('T1.txt', 1), ('T7.txt', 1), ('T8.txt', 3)]"
1761,consciou,"[('T6.txt', 1)]"
1762,ratio,"[('T6.txt', 3), ('T7.txt', 1)]"
1763,thinner,"[('T1.txt', 2)]"
1764,_held,"[('T10.txt', 1)]"
1765,drum,"[('T7.txt', 1)]"
1766,blade,"[('T7.txt', 1)]"
1767,201,"[('T1.txt', 2)]"
1768,branch,"[('T1.txt', 3), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 5), ('T8.txt', 1), ('T9.txt', 2)]"
1769,lili,"[('T7.txt', 1)]"
1770,spine,"[('T1.txt', 1)]"
1771,might,"[('T1.txt', 4), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 3), ('T9.txt', 3), ('T10.txt', 1)]"
1772,ultim,"[('T1.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
1773,peahen,"[('T6.txt', 1)]"
1774,geniu,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 2)]"
1775,saturn,"[('T1.txt', 3), ('T2.txt', 1), ('T3.txt', 9), ('T5.txt', 1)]"
1776,fascin,"[('T1.txt', 2), ('T5.txt', 1), ('T10.txt', 1)]"
1777,book,"[('T1.txt', 7), ('T5.txt', 3), ('T6.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
1778,leadbeat,"[('T1.txt', 1), ('T9.txt', 1)]"
1779,discharg,"[('T1.txt', 2), ('T6.txt', 1), ('T9.txt', 5)]"
1780,_celesti,"[('T5.txt', 1)]"
1781,along,"[('T1.txt', 1), ('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 4), ('T6.txt', 5), ('T7.txt', 3), ('T8.txt', 3), ('T9.txt', 4)]"
1782,31,"[('T1.txt', 2)]"
1783,react,"[('T6.txt', 1), ('T10.txt', 1)]"
1784,alpin,"[('T7.txt', 1)]"
1785,organ,"[('T6.txt', 28), ('T7.txt', 11), ('T9.txt', 1), ('T10.txt', 1)]"
1786,leibnitz,"[('T1.txt', 2)]"
1787,forb,"[('T5.txt', 1)]"
1788,build,"[('T1.txt', 1), ('T5.txt', 1), ('T6.txt', 9), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 4)]"
1789,corner,"[('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 1)]"
1790,bloom,"[('T7.txt', 1)]"
1791,suffer,"[('T6.txt', 1)]"
1792,_arch,"[('T7.txt', 4)]"
1793,factor,"[('T1.txt', 3), ('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
1794,motionless,"[('T7.txt', 1), ('T8.txt', 1)]"
1795,164,"[('T1.txt', 2), ('T5.txt', 1)]"
1796,rome,"[('T1.txt', 1)]"
1797,1915,"[('T1.txt', 2), ('T6.txt', 1), ('T9.txt', 1)]"
1798,midst,"[('T5.txt', 1)]"
1799,cubic,"[('T4.txt', 2)]"
1800,bed,"[('T3.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
1801,recurr,"[('T6.txt', 1)]"
1802,centrosom,"[('T6.txt', 2)]"
1803,fraction,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
1804,benevol,"[('T7.txt', 1)]"
1805,west,"[('T1.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1806,away,"[('T1.txt', 10), ('T2.txt', 4), ('T3.txt', 2), ('T4.txt', 3), ('T5.txt', 3), ('T7.txt', 5), ('T8.txt', 2), ('T10.txt', 7)]"
1807,impati,"[('T8.txt', 1)]"
1808,6221541,"[('T10.txt', 1)]"
1809,_evolut,"[('T5.txt', 1)]"
1810,heaviest,"[('T9.txt', 2), ('T10.txt', 1)]"
1811,dissolv,"[('T6.txt', 3), ('T7.txt', 4), ('T9.txt', 1)]"
1812,eject,"[('T9.txt', 2)]"
1813,vi,"[('T1.txt', 1), ('T6.txt', 1)]"
1814,page,"[('T1.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 4)]"
1815,timber,"[('T9.txt', 1)]"
1816,247,"[('T1.txt', 2)]"
1817,user,"[('T10.txt', 3)]"
1818,jar,"[('T9.txt', 2)]"
1819,wild,"[('T1.txt', 4), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
1820,fox,"[('T7.txt', 1)]"
1821,eohippu,"[('T7.txt', 2)]"
1822,flint,"[('T6.txt', 1), ('T7.txt', 1)]"
1823,earli,"[('T1.txt', 3), ('T5.txt', 2), ('T6.txt', 8), ('T7.txt', 2), ('T8.txt', 1), ('T10.txt', 1)]"
1824,errat,"[('T2.txt', 1), ('T6.txt', 1)]"
1825,disadvantag,"[('T3.txt', 1), ('T6.txt', 2)]"
1826,improv,"[('T1.txt', 1), ('T7.txt', 1)]"
1827,garment,"[('T1.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
1828,mercuri,"[('T1.txt', 4), ('T3.txt', 3), ('T5.txt', 1)]"
1829,sing,"[('T8.txt', 1)]"
1830,knew,"[('T9.txt', 2)]"
1831,seawe,"[('T6.txt', 1), ('T7.txt', 2)]"
1832,although,"[('T1.txt', 2), ('T2.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 5)]"
1833,proceed,"[('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
1834,zealand,"[('T8.txt', 1)]"
1835,pacif,"[('T7.txt', 1), ('T10.txt', 1)]"
1836,sunset,"[('T9.txt', 1)]"
1837,tapeworm,"[('T7.txt', 1)]"
1838,backbon,"[('T6.txt', 2), ('T7.txt', 4)]"
1839,began,"[('T1.txt', 1), ('T3.txt', 2), ('T4.txt', 2), ('T6.txt', 3), ('T7.txt', 11), ('T8.txt', 1), ('T10.txt', 3)]"
1840,dimli,"[('T1.txt', 1)]"
1841,wherea,"[('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
1842,beun,"[('T1.txt', 1)]"
1843,join,"[('T7.txt', 1)]"
1844,attract,"[('T1.txt', 1), ('T2.txt', 3), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 4), ('T10.txt', 3)]"
1845,lessen,"[('T7.txt', 1), ('T9.txt', 1)]"
1846,_animal_,"[('T1.txt', 1)]"
1847,numer,"[('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 7), ('T10.txt', 1)]"
1848,suggest,"[('T1.txt', 3), ('T2.txt', 3), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 7), ('T7.txt', 8), ('T8.txt', 2), ('T9.txt', 3), ('T10.txt', 2)]"
1849,angl,"[('T2.txt', 2), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 1), ('T7.txt', 1)]"
1850,refractor,"[('T1.txt', 1), ('T5.txt', 6)]"
1851,photo,"[('T1.txt', 88)]"
1852,sinc,"[('T1.txt', 3), ('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 5)]"
1853,bind,"[('T7.txt', 2)]"
1854,plate,"[('T1.txt', 1), ('T3.txt', 1), ('T5.txt', 8), ('T9.txt', 7)]"
1855,miocen,"[('T7.txt', 2)]"
1856,halo,"[('T1.txt', 2)]"
1857,193,"[('T1.txt', 1)]"
1858,_equatorially_,"[('T5.txt', 1)]"
1859,instal,"[('T10.txt', 1)]"
1860,gambier,"[('T1.txt', 3)]"
1861,gibbon,"[('T1.txt', 2)]"
1862,iso,"[('T1.txt', 1)]"
1863,32,"[('T1.txt', 2), ('T5.txt', 1)]"
1864,scratch,"[('T8.txt', 1)]"
1865,limbless,"[('T8.txt', 1)]"
1866,becam,"[('T2.txt', 2), ('T6.txt', 1), ('T7.txt', 7), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 6)]"
1867,gather,"[('T5.txt', 4), ('T6.txt', 3), ('T8.txt', 1), ('T9.txt', 2)]"
1868,ladder,"[('T7.txt', 2)]"
1869,supra,"[('T1.txt', 1), ('T6.txt', 1)]"
1870,profound,"[('T1.txt', 2), ('T7.txt', 1), ('T9.txt', 1)]"
1871,extraordinari,"[('T1.txt', 2), ('T3.txt', 1), ('T6.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
1872,_kallima,"[('T1.txt', 1)]"
1873,wheel,"[('T6.txt', 1), ('T9.txt', 11)]"
1874,_messr,"[('T2.txt', 1)]"
1875,sensit,"[('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T10.txt', 1)]"
1876,seriou,"[('T4.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1877,diffract,"[('T5.txt', 1)]"
1878,aid,"[('T7.txt', 1), ('T10.txt', 1)]"
1879,convert,"[('T2.txt', 2), ('T9.txt', 3), ('T10.txt', 1)]"
1880,shoot,"[('T1.txt', 2), ('T2.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
1881,horn,"[('T7.txt', 1), ('T8.txt', 1)]"
1882,1871,"[('T1.txt', 1)]"
1883,astronomi,"[('T1.txt', 8), ('T2.txt', 1), ('T5.txt', 8), ('T10.txt', 1)]"
1884,highli,"[('T1.txt', 2), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 4), ('T8.txt', 2)]"
1885,debri,"[('T1.txt', 1), ('T7.txt', 1)]"
1886,son,"[('T1.txt', 4), ('T8.txt', 1), ('T10.txt', 1)]"
1887,canin,"[('T7.txt', 1)]"
1888,dinosaur,"[('T7.txt', 5)]"
1889,successor,"[('T10.txt', 1)]"
1890,co,"[('T1.txt', 3), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 1)]"
1891,entellus_,"[('T8.txt', 1)]"
1892,anti,"[('T7.txt', 1)]"
1893,rhodesian,"[('T1.txt', 1)]"
1894,_planets_,"[('T1.txt', 1)]"
1895,unlik,"[('T6.txt', 1), ('T7.txt', 1)]"
1896,_b_,"[('T6.txt', 2), ('T7.txt', 2)]"
1897,wholli,"[('T8.txt', 1)]"
1898,lick,"[('T1.txt', 2), ('T4.txt', 1), ('T6.txt', 1)]"
1899,wallac,"[('T7.txt', 1)]"
1900,hilger,"[('T1.txt', 1), ('T5.txt', 1)]"
1901,reappear,"[('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 3)]"
1902,freshwat,"[('T6.txt', 3), ('T7.txt', 9), ('T8.txt', 1)]"
1903,lobe,"[('T6.txt', 1)]"
1904,recommend,"[('T7.txt', 1)]"
1905,_transit_,"[('T5.txt', 1)]"
1906,teacher,"[('T7.txt', 1)]"
1907,compris,"[('T1.txt', 1), ('T7.txt', 1), ('T10.txt', 2)]"
1908,jellyfish,"[('T6.txt', 1), ('T7.txt', 3)]"
1909,discrimin,"[('T1.txt', 1), ('T2.txt', 1), ('T8.txt', 1)]"
1910,rotat,"[('T1.txt', 3), ('T2.txt', 3), ('T3.txt', 3), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 1), ('T9.txt', 5), ('T10.txt', 22)]"
1911,carapac,"[('T7.txt', 1), ('T8.txt', 2)]"
1912,len,"[('T5.txt', 19), ('T9.txt', 2)]"
1913,common,"[('T1.txt', 6), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 2)]"
1914,settl,"[('T3.txt', 2), ('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1915,millimetr,"[('T9.txt', 2)]"
1916,quiet,"[('T1.txt', 1)]"
1917,till,"[('T1.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 3)]"
1918,stagger,"[('T4.txt', 1)]"
1919,unimagin,"[('T1.txt', 1), ('T2.txt', 1)]"
1920,adventur,"[('T1.txt', 1), ('T7.txt', 4), ('T8.txt', 1)]"
1921,includ,"[('T1.txt', 3), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 8), ('T9.txt', 2), ('T10.txt', 12)]"
1922,first,"[('T1.txt', 7), ('T2.txt', 2), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 21), ('T7.txt', 28), ('T8.txt', 6), ('T9.txt', 3), ('T10.txt', 3)]"
1923,pouch,"[('T1.txt', 1), ('T7.txt', 3)]"
1924,better,"[('T1.txt', 1), ('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
1925,liken,"[('T10.txt', 1)]"
1926,unconvinc,"[('T3.txt', 1)]"
1927,undergo,"[('T2.txt', 3), ('T9.txt', 1)]"
1928,doom,"[('T2.txt', 1)]"
1929,outflam,"[('T5.txt', 1)]"
1930,putnam,"[('T1.txt', 2)]"
1931,patern,"[('T6.txt', 2)]"
1932,warti,"[('T1.txt', 1)]"
1933,indigen,"[('T1.txt', 1)]"
1934,lake,"[('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
1935,nine,"[('T1.txt', 1), ('T3.txt', 3), ('T6.txt', 2), ('T7.txt', 1), ('T10.txt', 1)]"
1936,frill,"[('T1.txt', 1)]"
1937,slipher,"[('T3.txt', 1)]"
1938,import,"[('T1.txt', 2), ('T2.txt', 3), ('T5.txt', 2), ('T6.txt', 12), ('T7.txt', 7), ('T8.txt', 1), ('T9.txt', 4), ('T10.txt', 2)]"
1939,planet,"[('T1.txt', 28), ('T2.txt', 1), ('T3.txt', 28), ('T6.txt', 9), ('T9.txt', 3), ('T10.txt', 1)]"
1940,riot,"[('T7.txt', 1)]"
